category,sub_category,sales,profit,sales_share_pct
Office Supplies,Appliances,107532.1610,18138.0054,4.68
Technology,Phones,330007.0540,44515.7306,14.37
Office Supplies,Art,27118.7920,6527.7870,1.18
Office Supplies,Supplies,46673.5380,-1189.0995,2.03
Technology,Copiers,149528.0300,55617.8249,6.51
Technology,Machines,189238.6310,3384.7569,8.24
Office Supplies,Storage,223843.6080,21278.8264,9.74
Furniture,Tables,206965.5320,-17725.4811,9.01
Furniture,Bookcases,114879.9963,-3472.5560,5.00
Furniture,Chairs,328449.1030,26590.1663,14.30
Technology,Accessories,167380.3180,41936.6357,7.29
Office Supplies,Labels,12486.3120,5546.2540,0.54
Office Supplies,Envelopes,16476.4020,6964.1767,0.72
Office Supplies,Paper,78479.2060,34053.5693,3.42
Furniture,Furnishings,91705.1640,13059.1436,3.99
Office Supplies,Fasteners,3024.2800,949.5182,0.13
Office Supplies,Binders,203412.7330,30221.7633,8.85
