full_date,year_num,quarter,month_num,month_name,region,state,city,category,sub_category,sales,profit,units,orders
2014-01-03,2014,1,1,January,Central,Texas,Houston,Office Supplies,Paper,16.4480,5.5512,2,1
2014-01-04,2014,1,1,January,Central,Illinois,Naperville,Office Supplies,Binders,3.5400,-5.4870,2,1
2014-01-04,2014,1,1,January,Central,Illinois,Naperville,Office Supplies,Labels,11.7840,4.2717,3,1
2014-01-04,2014,1,1,January,Central,Illinois,Naperville,Office Supplies,Storage,272.7360,-64.7748,3,1
2014-01-05,2014,1,1,January,East,Pennsylvania,Philadelphia,Office Supplies,Art,19.5360,4.8840,3,1
2014-01-06,2014,1,1,January,South,Georgia,Athens,Office Supplies,Art,12.7800,5.2398,3,1
2014-01-06,2014,1,1,January,South,Kentucky,Henderson,Furniture,Chairs,2573.8200,746.4078,9,1
2014-01-06,2014,1,1,January,South,Kentucky,Henderson,Office Supplies,Art,5.4800,1.4796,2,1
2014-01-06,2014,1,1,January,South,Kentucky,Henderson,Office Supplies,Binders,609.9800,274.4910,2,1
2014-01-06,2014,1,1,January,South,Kentucky,Henderson,Office Supplies,Fasteners,31.1200,0.3112,4,1
2014-01-06,2014,1,1,January,South,Kentucky,Henderson,Office Supplies,Paper,6.5400,3.0084,1,1
2014-01-06,2014,1,1,January,South,Kentucky,Henderson,Technology,Phones,1147.9400,317.7834,6,1
2014-01-06,2014,1,1,January,West,California,Los Angeles,Office Supplies,Paper,19.4400,9.3312,3,1
2014-01-07,2014,1,1,January,Central,Texas,Huntsville,Furniture,Furnishings,76.7280,-53.7096,3,1
2014-01-07,2014,1,1,January,Central,Texas,Huntsville,Office Supplies,Binders,10.4300,-18.2525,7,1
2014-01-09,2014,1,1,January,Central,Texas,Laredo,Office Supplies,Art,9.3440,1.1680,2,1
2014-01-09,2014,1,1,January,Central,Texas,Laredo,Technology,Accessories,31.2000,9.7500,3,1
2014-01-10,2014,1,1,January,South,Virginia,Springfield,Furniture,Furnishings,51.9400,21.2954,1,1
2014-01-10,2014,1,1,January,South,Virginia,Springfield,Office Supplies,Labels,2.8900,1.3583,1,1
2014-01-11,2014,1,1,January,East,Delaware,Dover,Furniture,Furnishings,9.9400,3.0814,2,1
2014-01-13,2014,1,1,January,East,Ohio,Newark,Office Supplies,Binders,3.4380,-2.5212,2,1
2014-01-13,2014,1,1,January,East,Ohio,Newark,Office Supplies,Paper,37.4080,13.0928,7,1
2014-01-13,2014,1,1,January,South,Louisiana,Bossier City,Office Supplies,Binders,5.6400,2.7072,3,1
2014-01-13,2014,1,1,January,South,Louisiana,Bossier City,Office Supplies,Envelopes,62.3000,30.8092,5,1
2014-01-13,2014,1,1,January,South,Louisiana,Bossier City,Office Supplies,Storage,572.5800,34.3548,6,1
2014-01-13,2014,1,1,January,South,Louisiana,Bossier City,Technology,Accessories,646.7400,258.6960,6,1
2014-01-13,2014,1,1,January,South,South Carolina,Mount Pleasant,Furniture,Chairs,545.9400,87.3504,6,1
2014-01-13,2014,1,1,January,West,California,San Francisco,Furniture,Bookcases,333.9990,3.9294,3,1
2014-01-13,2014,1,1,January,West,California,San Francisco,Office Supplies,Art,19.9000,6.5670,5,1
2014-01-13,2014,1,1,January,West,California,San Francisco,Office Supplies,Storage,1325.8500,238.6530,5,1
2014-01-14,2014,1,1,January,East,Pennsylvania,Philadelphia,Furniture,Bookcases,61.9600,-53.2856,4,1
2014-01-15,2014,1,1,January,South,Georgia,Roswell,Technology,Accessories,149.9500,65.9780,5,1
2014-01-16,2014,1,1,January,East,Pennsylvania,Philadelphia,Furniture,Furnishings,127.1040,28.5984,6,1
2014-01-16,2014,1,1,January,East,Pennsylvania,Philadelphia,Office Supplies,Binders,18.5880,-13.6312,2,1
2014-01-16,2014,1,1,January,East,Pennsylvania,Philadelphia,Office Supplies,Labels,30.0720,10.1493,3,1
2014-01-16,2014,1,1,January,East,Pennsylvania,Philadelphia,Technology,Phones,124.2000,-31.0500,3,1
2014-01-18,2014,1,1,January,West,Oregon,Springfield,Office Supplies,Appliances,64.8640,6.4864,4,1
2014-01-19,2014,1,1,January,West,Arizona,Scottsdale,Furniture,Bookcases,181.4700,-320.5970,5,1
2014-01-19,2014,1,1,January,West,Arizona,Scottsdale,Office Supplies,Binders,32.3400,-23.7160,10,1
2014-01-19,2014,1,1,January,West,Arizona,Scottsdale,Office Supplies,Envelopes,108.7200,36.6930,5,1
2014-01-19,2014,1,1,January,West,Arizona,Scottsdale,Office Supplies,Paper,56.0640,19.6224,4,1
2014-01-20,2014,1,1,January,Central,Michigan,Westland,Furniture,Furnishings,287.6700,34.8843,6,1
2014-01-20,2014,1,1,January,Central,Michigan,Westland,Office Supplies,Appliances,247.7160,93.5816,4,1
2014-01-20,2014,1,1,January,Central,Michigan,Westland,Office Supplies,Art,43.9200,12.7368,3,1
2014-01-20,2014,1,1,January,Central,Michigan,Westland,Office Supplies,Binders,48.7500,22.3185,10,1
