year_num,month_num,month_name,region,sales,profit,orders,active_customers
2014,1,January,Central,1539.9060,118.4902,8,8
2014,1,January,East,436.1740,-39.3564,6,6
2014,1,January,South,9322.0920,2346.6640,10,10
2014,1,January,West,2938.7230,24.3929,8,8
2014,2,February,Central,1233.1740,294.8067,11,10
2014,2,February,East,199.7760,62.7536,3,3
2014,2,February,South,2028.9860,279.3395,3,3
2014,2,February,West,1057.9560,225.4086,11,11
2014,3,March,Central,5827.6020,-274.0467,14,14
2014,3,March,East,5943.3880,-809.1755,17,17
2014,3,March,South,32911.1210,47.7248,18,18
2014,3,March,West,11008.8980,1534.2273,22,22
2014,4,April,Central,3712.3400,229.3787,9,9
2014,4,April,East,3054.9060,-220.6252,15,15
2014,4,April,South,12184.6120,1850.6272,18,18
2014,4,April,West,9343.4870,1629.4545,24,23
2014,5,May,Central,4048.5060,-506.0171,20,20
2014,5,May,East,7250.1030,754.4965,18,16
2014,5,May,South,5779.2400,1616.6662,11,11
2014,5,May,West,6570.4380,873.5640,20,20
2014,6,June,Central,9646.2986,1246.1218,21,21
2014,6,June,East,10759.1560,980.1412,20,20
2014,6,June,South,4560.2510,978.4462,9,8
2014,6,June,West,9629.4220,1771.8152,16,16
2014,7,July,Central,6740.5740,-4055.3338,13,13
2014,7,July,East,3568.1460,847.1365,16,16
2014,7,July,South,1829.1200,420.0319,7,7
2014,7,July,West,21808.5530,1946.6828,29,29
2014,8,August,Central,3022.1830,628.4268,9,9
2014,8,August,East,4582.4480,801.8064,20,20
2014,8,August,South,7056.6065,1326.9674,16,16
2014,8,August,West,13248.2310,2560.9044,27,26
2014,9,September,Central,34408.6898,1422.7972,29,29
2014,9,September,East,25292.7890,4174.8133,48,47
2014,9,September,South,7175.3350,-345.0338,18,18
2014,9,September,West,14900.5370,3075.5227,35,35
2014,10,October,Central,8965.7570,1341.2414,16,16
2014,10,October,East,8945.1240,61.9785,19,19
2014,10,October,South,4813.7540,653.7719,14,14
2014,10,October,West,8728.7580,1391.2655,29,29
2014,11,November,Central,14057.5682,-794.1589,41,41
2014,11,November,East,33950.7710,5591.6322,43,42
2014,11,November,South,7428.7530,1343.3429,20,20
2014,11,November,West,23191.6245,3151.3107,47,47
2014,12,December,Central,10635.5660,887.8471,39,39
2014,12,December,East,24697.6760,4854.0084,36,36
2014,12,December,South,8755.9730,1360.5718,21,21
2014,12,December,West,25456.4055,1881.1426,45,45
2015,1,January,Central,2510.5116,-602.8452,7,7
2015,1,January,East,4670.9940,-1633.3880,8,8
2015,1,January,South,4965.8340,-1645.0817,6,6
2015,1,January,West,6026.7360,600.3079,8,8
2015,2,February,Central,2527.5860,330.9740,8,8
2015,2,February,East,6463.1330,1806.5875,13,13
2015,2,February,South,1156.5140,222.5703,5,5
2015,2,February,West,1804.1780,453.7190,10,10
2015,3,March,Central,6730.2680,51.4141,20,20
2015,3,March,East,6011.7410,1474.0029,17,17
2015,3,March,South,10322.0950,3982.8631,16,16
2015,3,March,West,15662.1480,4223.8177,26,26
2015,4,April,Central,11642.0550,992.0608,19,19
2015,4,April,East,7778.7960,1095.2726,20,20
2015,4,April,South,5718.3335,767.3671,9,9
2015,4,April,West,9056.0240,1332.7957,24,24
2015,5,May,Central,8623.9030,963.9297,19,18
2015,5,May,East,7481.4240,1633.5375,20,20
2015,5,May,South,1983.7040,429.2514,11,11
2015,5,May,West,12042.6555,1641.1504,24,24
2015,6,June,Central,3713.1870,-420.6720,14,14
2015,6,June,East,7442.9880,1629.7651,19,19
2015,6,June,South,8552.1670,1092.1180,16,16
2015,6,June,West,5088.9500,1034.3461,19,19
2015,7,July,Central,7605.5670,305.2634,15,15
2015,7,July,East,11872.6640,2350.9841,22,22
2015,7,July,South,2197.2680,608.1512,12,12
2015,7,July,West,7089.8260,24.2496,17,16
2015,8,August,Central,9301.4512,1031.5799,16,16
2015,8,August,East,9463.7720,912.0869,20,20
2015,8,August,South,5584.7500,2173.1713,8,8
2015,8,August,West,12548.3590,1238.9703,24,24
2015,9,September,Central,7578.5200,1563.3415,21,21
2015,9,September,East,29440.9870,2511.7810,44,43
2015,9,September,South,13677.4870,1682.8226,26,26
2015,9,September,West,13898.9240,2451.2176,49,46
2015,10,October,Central,7000.4860,48.6588,22,22
2015,10,October,East,6302.0300,1460.3087,20,19
2015,10,October,South,4085.7275,-470.0490,12,12
2015,10,October,West,14016.6800,1778.4475,33,32
2015,11,November,Central,18903.0860,3261.6008,37,37
2015,11,November,East,34724.7610,7862.3160,51,49
2015,11,November,South,7795.8205,-399.3144,25,25
2015,11,November,West,14548.8960,1750.1860,45,45
2015,12,December,Central,16737.6012,4191.4962,36,36
2015,12,December,East,24678.7670,-12.2413,42,38
2015,12,December,South,5320.2800,-125.2759,24,21
2015,12,December,West,28182.8730,3962.9869,59,59
2016,1,January,Central,5942.1560,474.0926,7,7
2016,1,January,East,4860.0870,799.0267,17,17
2016,1,January,South,4082.4260,907.4586,8,8
2016,1,January,West,3657.8220,644.2454,16,16
2016,2,February,Central,1115.7280,-142.5653,7,7
2016,2,February,East,3149.8210,573.6857,16,16
2016,2,February,South,15613.1040,4185.0610,12,12
2016,2,February,West,3100.1620,388.3981,10,10
2016,3,March,Central,13153.8130,-606.0403,22,22
2016,3,March,East,16764.8570,2444.1875,28,28
2016,3,March,South,4238.1740,563.6023,13,13
2016,3,March,West,17559.0310,1210.2185,23,23
2016,4,April,Central,7462.3520,-1344.2660,19,17
2016,4,April,East,17839.9680,3538.4937,27,27
2016,4,April,South,2965.7100,426.8291,15,15
2016,4,April,West,10482.0090,356.7581,28,28
2016,5,May,Central,11743.9650,1376.8481,22,22
2016,5,May,East,22589.2830,3531.9126,28,27
2016,5,May,South,11960.2330,2269.0842,28,28
2016,5,May,West,10694.2470,1484.3015,30,30
2016,6,June,Central,6553.1480,189.9304,23,23
2016,6,June,East,11737.4060,1598.5540,32,32
2016,6,June,South,3455.8850,686.4374,9,9
2016,6,June,West,18598.0950,2275.4563,33,32
2016,7,July,Central,8894.4640,806.0161,22,22
2016,7,July,East,8524.1970,-291.2733,25,25
2016,7,July,South,6562.4190,971.7937,16,16
2016,7,July,West,15280.8830,2946.3414,33,32
