as_of_date,store_id,city,state,region,product_id,product_name,category,sub_category,on_hand_qty,reorder_point,avg_daily_sales,days_of_supply,is_stockout_risk
2017-12-30,UnitedStates-Central-Aberdeen-SouthDakota,Aberdeen,South Dakota,Central,OFF-SU-10004661,Acme Titanium Bonded Scissors,Office Supplies,Supplies,8,2,0.0333,240.00,f
2017-12-30,UnitedStates-Central-Abilene-Texas,Abilene,Texas,Central,OFF-AP-10001634,Hoover Commercial Lightweight Upright Vacuum,Office Supplies,Appliances,5,2,0.0222,225.00,f
2017-12-30,UnitedStates-Central-Aurora-Illinois,Aurora,Illinois,Central,FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,Furniture,Chairs,3,2,0.0333,90.00,f
2017-12-30,UnitedStates-Central-Aurora-Illinois,Aurora,Illinois,Central,FUR-CH-10003973,GuestStacker Chair with Chrome Finish Legs,Furniture,Chairs,4,2,0.0222,180.00,f
2017-12-30,UnitedStates-Central-Aurora-Illinois,Aurora,Illinois,Central,FUR-FU-10004306,Electrix Halogen Magnifier Lamp,Furniture,Furnishings,4,2,0.0111,360.00,f
2017-12-30,UnitedStates-Central-Aurora-Illinois,Aurora,Illinois,Central,FUR-TA-10001676,Hon 61000 Series Interactive Training Tables,Furniture,Tables,3,2,0.0333,90.00,f
2017-12-30,UnitedStates-Central-Aurora-Illinois,Aurora,Illinois,Central,FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",Furniture,Tables,4,2,0.0556,72.00,f
2017-12-30,UnitedStates-Central-Aurora-Illinois,Aurora,Illinois,Central,OFF-PA-10001937,Xerox 21,Office Supplies,Paper,4,2,0.0222,180.00,f
2017-12-30,UnitedStates-Central-Austin-Texas,Austin,Texas,Central,OFF-BI-10000962,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",Office Supplies,Binders,2,2,0.0333,60.00,t
2017-12-30,UnitedStates-Central-Austin-Texas,Austin,Texas,Central,OFF-PA-10002749,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,Paper,7,2,0.0333,210.00,f
2017-12-30,UnitedStates-Central-Austin-Texas,Austin,Texas,Central,OFF-PA-10003823,Xerox 197,Office Supplies,Paper,2,2,0.1000,20.00,t
2017-12-30,UnitedStates-Central-Austin-Texas,Austin,Texas,Central,OFF-ST-10002344,"Carina 42""Hx23 3/4""W Media Storage Unit",Office Supplies,Storage,8,2,0.0444,180.00,f
2017-12-30,UnitedStates-Central-Austin-Texas,Austin,Texas,Central,OFF-ST-10003716,Tennsco Double-Tier Lockers,Office Supplies,Storage,3,2,0.0333,90.00,f
2017-12-30,UnitedStates-Central-Austin-Texas,Austin,Texas,Central,OFF-ST-10004507,Advantus Rolling Storage Box,Office Supplies,Storage,4,2,0.0111,360.00,f
2017-12-30,UnitedStates-Central-Austin-Texas,Austin,Texas,Central,TEC-AC-10002942,WD My Passport Ultra 1TB Portable External Hard Drive,Technology,Accessories,1,2,0.0111,90.00,t
2017-12-30,UnitedStates-Central-Bloomington-Illinois,Bloomington,Illinois,Central,OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Office Supplies,Art,4,2,0.0444,90.00,f
2017-12-30,UnitedStates-Central-Brownsville-Texas,Brownsville,Texas,Central,FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Furniture,Bookcases,7,2,0.0222,315.00,f
2017-12-30,UnitedStates-Central-Bryan-Texas,Bryan,Texas,Central,OFF-BI-10001308,GBC Standard Plastic Binding Systems' Combs,Office Supplies,Binders,3,2,0.0667,45.00,f
2017-12-30,UnitedStates-Central-Bryan-Texas,Bryan,Texas,Central,OFF-BI-10003094,Self-Adhesive Ring Binder Labels,Office Supplies,Binders,2,2,0.0222,90.00,t
2017-12-30,UnitedStates-Central-Bryan-Texas,Bryan,Texas,Central,OFF-BI-10004040,Wilson Jones Impact Binders,Office Supplies,Binders,5,2,0.0444,112.50,f
2017-12-30,UnitedStates-Central-Bryan-Texas,Bryan,Texas,Central,OFF-ST-10002485,Rogers Deluxe File Chest,Office Supplies,Storage,2,2,0.0333,60.00,t
2017-12-30,UnitedStates-Central-Burlington-Iowa,Burlington,Iowa,Central,OFF-BI-10002012,Wilson Jones Easy Flow II Sheet Lifters,Office Supplies,Binders,3,2,0.0333,90.00,f
2017-12-30,UnitedStates-Central-Burlington-Iowa,Burlington,Iowa,Central,OFF-EN-10003160,Pastel Pink Envelopes,Office Supplies,Envelopes,3,2,0.0111,270.00,f
2017-12-30,UnitedStates-Central-Burlington-Iowa,Burlington,Iowa,Central,OFF-PA-10001509,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Office Supplies,Paper,6,2,0.0556,108.00,f
2017-12-30,UnitedStates-Central-Canton-Michigan,Canton,Michigan,Central,FUR-FU-10003347,Coloredge Poster Frame,Furniture,Furnishings,6,2,0.0222,270.00,f
2017-12-30,UnitedStates-Central-Canton-Michigan,Canton,Michigan,Central,OFF-BI-10001543,GBC VeloBinder Manual Binding System,Office Supplies,Binders,6,2,0.0889,67.50,f
2017-12-30,UnitedStates-Central-Canton-Michigan,Canton,Michigan,Central,OFF-ST-10001097,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Office Supplies,Storage,7,2,0.0333,210.00,f
2017-12-30,UnitedStates-Central-Carrollton-Texas,Carrollton,Texas,Central,FUR-FU-10001967,Telescoping Adjustable Floor Lamp,Furniture,Furnishings,0,2,0.0222,0.00,t
2017-12-30,UnitedStates-Central-Carrollton-Texas,Carrollton,Texas,Central,OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",Office Supplies,Art,2,2,0.0444,45.00,t
2017-12-30,UnitedStates-Central-Carrollton-Texas,Carrollton,Texas,Central,OFF-PA-10000308,Xerox 1901,Office Supplies,Paper,1,2,0.0444,22.50,t
2017-12-30,UnitedStates-Central-Carrollton-Texas,Carrollton,Texas,Central,OFF-SU-10001165,Acme Elite Stainless Steel Scissors,Office Supplies,Supplies,0,2,0.0111,0.00,t
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,Furniture,Chairs,2,2,0.0222,90.00,t
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,FUR-FU-10002963,"Master Caster Door Stop, Gray",Furniture,Furnishings,4,2,0.0111,360.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,FUR-FU-10004909,Contemporary Wood/Metal Frame,Furniture,Furnishings,7,2,0.0111,630.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,FUR-TA-10002533,BPI Conference Tables,Furniture,Tables,7,2,0.0333,210.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,FUR-TA-10003008,"Lesro Round Back Collection Coffee Table, End Table",Furniture,Tables,5,2,0.0111,450.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-AP-10002191,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Office Supplies,Appliances,6,2,0.0222,270.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-AR-10003045,Prang Colored Pencils,Office Supplies,Art,2,2,0.0333,60.00,t
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-AR-10004790,Staples in misc. colors,Office Supplies,Art,6,2,0.0222,270.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-BI-10000309,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders,10,2,0.1000,100.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,1,2,0.0556,18.00,t
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,Binders,5,2,0.0556,90.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-BI-10004224,Catalog Binders with Expanding Posts,Office Supplies,Binders,6,2,0.0111,540.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-EN-10001137,"#10 Gummed Flap White Envelopes, 100/Box",Office Supplies,Envelopes,4,2,0.0333,120.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-EN-10002592,"Peel & Seel Recycled Catalog Envelopes, Brown",Office Supplies,Envelopes,9,2,0.0667,135.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-LA-10001613,Avery File Folder Labels,Office Supplies,Labels,9,2,0.0556,162.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-PA-10004285,Xerox 1959,Office Supplies,Paper,3,2,0.0222,135.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-PA-10004965,Xerox 1921,Office Supplies,Paper,0,2,0.0222,0.00,t
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-ST-10000532,Advantus Rolling Drawer Organizers,Office Supplies,Storage,3,2,0.0222,135.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,1,2,0.0222,45.00,t
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,OFF-ST-10003656,Safco Industrial Wire Shelving,Office Supplies,Storage,3,2,0.0333,90.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,TEC-AC-10000474,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Technology,Accessories,4,2,0.0333,120.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,TEC-PH-10001536,Spigen Samsung Galaxy S5 Case Wallet,Technology,Phones,4,2,0.0222,180.00,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,TEC-PH-10003095,Samsung HM1900 Bluetooth Headset,Technology,Phones,2,2,0.0333,60.00,t
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,TEC-PH-10004042,ClearOne Communications CHAT 70 OC Speaker Phone,Technology,Phones,3,2,0.0444,67.50,f
2017-12-30,UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,TEC-PH-10004447,Toshiba IPT2010-SD IP Telephone,Technology,Phones,6,2,0.0222,270.00,f
2017-12-30,UnitedStates-Central-CollegeStation-Texas,College Station,Texas,Central,FUR-CH-10001973,Office Star Flex Back Scooter Chair with White Frame,Furniture,Chairs,1,2,0.0333,30.00,t
2017-12-30,UnitedStates-Central-CollegeStation-Texas,College Station,Texas,Central,OFF-AP-10001947,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Office Supplies,Appliances,3,2,0.0889,33.75,f
2017-12-30,UnitedStates-Central-CollegeStation-Texas,College Station,Texas,Central,OFF-PA-10004519,Spiral Phone Message Books with Labels by Adams,Office Supplies,Paper,8,2,0.0889,90.00,f
2017-12-30,UnitedStates-Central-Columbus-Indiana,Columbus,Indiana,Central,OFF-AP-10002457,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Office Supplies,Appliances,0,2,0.0222,0.00,t
2017-12-30,UnitedStates-Central-Columbus-Indiana,Columbus,Indiana,Central,OFF-AP-10004532,Kensington 6 Outlet Guardian Standard Surge Protector,Office Supplies,Appliances,4,2,0.0333,120.00,f
2017-12-30,UnitedStates-Central-Columbus-Indiana,Columbus,Indiana,Central,OFF-BI-10004519,GBC DocuBind P100 Manual Binding Machine,Office Supplies,Binders,2,2,0.0333,60.00,t
2017-12-30,UnitedStates-Central-Columbus-Indiana,Columbus,Indiana,Central,OFF-PA-10001745,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Office Supplies,Paper,1,2,0.0444,22.50,t
2017-12-30,UnitedStates-Central-Columbus-Indiana,Columbus,Indiana,Central,OFF-PA-10002137,"Southworth 100% Résumé Paper, 24lb.",Office Supplies,Paper,5,2,0.0556,90.00,f
2017-12-30,UnitedStates-Central-Columbus-Indiana,Columbus,Indiana,Central,OFF-PA-10003641,Xerox 1909,Office Supplies,Paper,6,2,0.0667,90.00,f
2017-12-30,UnitedStates-Central-Columbus-Indiana,Columbus,Indiana,Central,TEC-AC-10003832,Logitech P710e Mobile Speakerphone,Technology,Accessories,2,2,0.0333,60.00,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,Bookcases,1,2,0.0333,30.00,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,Furnishings,2,2,0.0333,60.00,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,FUR-FU-10003849,"DAX Metal Frame, Desktop, Stepped-Edge",Furniture,Furnishings,5,2,0.0222,225.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,FUR-FU-10003878,"Linden 10"" Round Wall Clock, Black",Furniture,Furnishings,7,2,0.0556,126.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",Furniture,Tables,1,2,0.0222,45.00,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,FUR-TA-10003008,"Lesro Round Back Collection Coffee Table, End Table",Furniture,Tables,2,2,0.0111,180.00,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,Office Supplies,Appliances,3,2,0.0222,135.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-AR-10001615,Newell 34,Office Supplies,Art,2,2,0.0222,90.00,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-AR-10003651,Newell 350,Office Supplies,Art,1,2,0.0222,45.00,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-BI-10000666,Surelock Post Binders,Office Supplies,Binders,1,2,0.0556,18.00,t
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-BI-10001116,"Wilson Jones 1"" Hanging DublLock Ring Binders",Office Supplies,Binders,5,2,0.0333,150.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-BI-10001597,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Binders,4,2,0.0556,72.00,f
2017-12-30,UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,OFF-BI-10003684,Wilson Jones Legal Size Ring Binders,Office Supplies,Binders,5,2,0.1000,50.00,f
