store_id,city,state,region,orders,sales,profit,profit_margin_pct,units
UnitedStates-Central-Aberdeen-SouthDakota,Aberdeen,South Dakota,Central,1,25.5000,6.6300,26.00,3
UnitedStates-Central-Abilene-Texas,Abilene,Texas,Central,1,1.3920,-3.7584,-270.00,2
UnitedStates-Central-Allen-Texas,Allen,Texas,Central,2,290.2060,-39.8775,-13.74,13
UnitedStates-Central-Amarillo-Texas,Amarillo,Texas,Central,7,3773.0628,-387.9683,-10.28,32
UnitedStates-Central-AnnArbor-Michigan,Ann Arbor,Michigan,Central,2,889.2730,228.9158,25.74,23
UnitedStates-Central-AppleValley-Minnesota,Apple Valley,Minnesota,Central,2,137.9400,8.9706,6.50,5
UnitedStates-Central-Appleton-Wisconsin,Appleton,Wisconsin,Central,2,1671.3100,554.7663,33.19,12
UnitedStates-Central-Arlington-Texas,Arlington,Texas,Central,10,5847.7720,-254.3886,-4.35,131
UnitedStates-Central-ArlingtonHeights-Illinois,Arlington Heights,Illinois,Central,1,14.1120,1.2348,8.75,6
UnitedStates-Central-Aurora-Illinois,Aurora,Illinois,Central,20,7572.9680,-1894.7196,-25.02,128
UnitedStates-Central-Austin-Texas,Austin,Texas,Central,18,6057.9820,-20.3938,-0.34,131
UnitedStates-Central-Baytown-Texas,Baytown,Texas,Central,1,10.3680,3.6288,35.00,2
UnitedStates-Central-Beaumont-Texas,Beaumont,Texas,Central,3,472.1160,59.1164,12.52,21
UnitedStates-Central-Bedford-Texas,Bedford,Texas,Central,2,226.2560,10.6202,4.69,25
UnitedStates-Central-Bloomington-Illinois,Bloomington,Illinois,Central,6,963.9400,-432.1283,-44.83,27
UnitedStates-Central-Bloomington-Indiana,Bloomington,Indiana,Central,4,603.8000,182.7733,30.27,31
UnitedStates-Central-Bolingbrook-Illinois,Bolingbrook,Illinois,Central,3,218.3080,-4.6610,-2.14,23
UnitedStates-Central-BrokenArrow-Oklahoma,Broken Arrow,Oklahoma,Central,3,2439.5300,575.5226,23.59,17
UnitedStates-Central-Brownsville-Texas,Brownsville,Texas,Central,4,1292.2268,202.0720,15.64,27
UnitedStates-Central-Bryan-Texas,Bryan,Texas,Central,2,616.6560,-213.7116,-34.66,27
UnitedStates-Central-BuffaloGrove-Illinois,Buffalo Grove,Illinois,Central,2,831.3990,-89.6478,-10.78,10
UnitedStates-Central-Burlington-Iowa,Burlington,Iowa,Central,2,57.4300,26.6714,46.44,9
UnitedStates-Central-Canton-Michigan,Canton,Michigan,Central,2,818.1300,149.2776,18.25,13
UnitedStates-Central-CarolStream-Illinois,Carol Stream,Illinois,Central,1,1305.8100,-39.8683,-3.05,18
UnitedStates-Central-Carrollton-Texas,Carrollton,Texas,Central,8,2200.6460,-470.2139,-21.37,50
UnitedStates-Central-CedarHill-Texas,Cedar Hill,Texas,Central,2,122.3760,42.8316,35.00,6
UnitedStates-Central-CedarRapids-Iowa,Cedar Rapids,Iowa,Central,1,278.4000,80.7360,29.00,3
UnitedStates-Central-Champaign-Illinois,Champaign,Illinois,Central,1,151.9600,-182.3520,-120.00,5
UnitedStates-Central-Chicago-Illinois,Chicago,Illinois,Central,171,48539.5410,-6654.5688,-13.71,1132
UnitedStates-Central-CollegeStation-Texas,College Station,Texas,Central,2,291.0420,-117.6224,-40.41,19
UnitedStates-Central-Columbia-Missouri,Columbia,Missouri,Central,3,2990.0400,1106.7719,37.02,38
UnitedStates-Central-Columbus-Indiana,Columbus,Indiana,Central,16,7960.4000,2522.4846,31.69,114
UnitedStates-Central-Conroe-Texas,Conroe,Texas,Central,1,111.6720,6.9795,6.25,9
UnitedStates-Central-CoonRapids-Minnesota,Coon Rapids,Minnesota,Central,1,503.1300,136.4532,27.12,7
UnitedStates-Central-Coppell-Texas,Coppell,Texas,Central,2,135.9360,41.4892,30.52,17
UnitedStates-Central-CorpusChristi-Texas,Corpus Christi,Texas,Central,3,220.5440,-43.7304,-19.83,33
UnitedStates-Central-CottageGrove-Minnesota,Cottage Grove,Minnesota,Central,1,144.3600,54.7968,37.96,6
UnitedStates-Central-Dallas-Texas,Dallas,Texas,Central,80,20131.9322,-2846.5257,-14.14,555
UnitedStates-Central-Danville-Illinois,Danville,Illinois,Central,1,43.3720,-69.3952,-160.00,7
UnitedStates-Central-Dearborn-Michigan,Dearborn,Michigan,Central,2,1603.3100,467.3864,29.15,23
UnitedStates-Central-DearbornHeights-Michigan,Dearborn Heights,Michigan,Central,2,1051.5700,140.8905,13.40,19
UnitedStates-Central-Decatur-Illinois,Decatur,Illinois,Central,9,3169.4730,-311.0325,-9.81,77
UnitedStates-Central-DeerPark-Texas,Deer Park,Texas,Central,1,6.9240,-10.3860,-150.00,6
UnitedStates-Central-DesMoines-Iowa,Des Moines,Iowa,Central,5,2008.8400,360.4009,17.94,43
UnitedStates-Central-DesPlaines-Illinois,Des Plaines,Illinois,Central,2,1493.2120,-236.7674,-15.86,24
UnitedStates-Central-Detroit-Michigan,Detroit,Michigan,Central,53,42446.9440,13181.7908,31.05,441
UnitedStates-Central-Dubuque-Iowa,Dubuque,Iowa,Central,2,1687.3000,477.6744,28.31,18
